Pool,Token 0,Token 1,Exchange,Reserve 0,Reserve 1,Quote,blockNumber
0x3D3F13F2529eC3C84B2940155EffBf9b39a8f3Ec,0xa5f2211B9b8170F694421f2046281775E8468044,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,3319384259592406378043456,340423016457671958319,9758.115616794388,19538598.0
0x45B6FFb13e5206dAFE2cc8780e4DDc0e32496265,0x60bE1e1fE41c1370ADaF5d8e66f07Cf1C2Df2268,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,1131896926141068204246233,178034991826456662703,6357.721673301215,19538496.0
0xc5E5551E7434484Adbf2Ccd9669BEFecB1273eB4,0x7825e833D495F3d1c28872415a4aee339D26AC88,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,1414674700626166108540605,152758022914400599897,9260.886424400062,19538496.0
0x5a70513ec742EBbFB99094c7fd3096a0a3e25B86,0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,166248692893118639209153,63742893332284287461,2608.113378639459,19538496.0
0x9D45081706102E7aadDD0973268457527722E274,0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,37942179773088849003365898,154712547469749477454,245243.0678287912,19538496.0
0x75e66d062a2a8BE5c99d71db11d72aB3B82bA8b3,0x4CC19356f2D37338b9802aa8E8fc58B0373296E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,14999886147318120005422,47493396210046965,315830.9858696729,19538496.0
0x559eBE4E206e6B4D50e9bd3008cDA7ce640C52cb,0x44709a920fCcF795fbC57BAA433cc3dd53C44DbE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,72414097133781935300326575,201603054242142307165,360464.72042977175,19538513.0
0x7B504a15ef05F4EED1C07208C5815c49022A0C19,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,sushiswapV2,22339634101187450387,196840601584767789583385,0.0001134909867239,19538496.0
0xC4b26b26d720467d96E18f08664A888d4116cEa6,0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,254292600144922361470256,45745593942499341620,5558.843556923964,19538496.0
0xFb55AF0ef0DcdeC92Bd3752E7a9237dfEfB8AcC0,0x31429d1856aD1377A8A0079410B297e1a9e214c2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,17560918121195167466213,496583131177964663,35363.501131297424,19538496.0
0x9A0CC6791a5409ce3547F1f1d00e058c79D0A72c,0xa693B19d2931d498c5B318dF961919BB4aee87a5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,24629928040963,198536850079899325047,124057.21170176171,19538496.0
0x37922C69b08BABcCEaE735A31235c81f1d1e8E43,0x808507121B80c02388fAd14726482e061B8da827,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,25095769746325303446849,29896019256630199069,830.1837418372144,19538564.0
0xEa59A3Da9CaD8ECE406a353DDEde0e7D17604d28,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEe7527841A932d2912224E20a405e1a1FF747084,sushiswapV2,22181427803825880570,90457113592576,2.452148529051269e-06,19538496.0
0x613C836DF6695c10f0f4900528B6931441Ac5d5a,0x0391D2021f89DC339F60Fff84546EA23E337750f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,1823988773065298133401,2543046608166755793,717.2455145759928,19538496.0
0x95cFa1f48faD82232772d3B1415Ad4393517F3b5,0x69fa0feE221AD11012BAb0FdB45d444D3D2Ce71c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,21817916995666729918300795,170627768261941450030,127868.501228784,19538496.0
0x001b6450083E531A5a7Bf310BD2c1Af4247E23D4,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,50694685746959869812352,60643512904354393983,835.9457313581818,19538496.0
